연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,5,5.7,0.1,0,0,0,10.8,
2015,0,0,0,0,0,0,3,4,0,0,0,0,7,10
2016,0,0,0,0,0,0,7,14,0,0,0,0,21,4
2017,0,0,0,0,0,0,11,7,0,0,0,0,18,5
2018,0,0,0,0,0,0,17,18,0,0,0,0,35,2
2019,0,0,0,0,0,0,10,12,1,0,0,0,23,3
2020,0,0,0,0,0,0,0,17,0,0,0,0,17,7
2021,0,0,0,0,0,0,11,4,0,0,0,0,15,8
2022,0,0,0,0,0,2,6,9,0,0,0,0,17,6
2023,0,0,0,0,0,0,2,6,0,0,0,0,8,9
2024,0,0,0,0,0,0,11,19,6,0,0,0,36,1
