연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,7.6,8.2,0.3,0,0,0,16.1,
2015,0,0,0,0,0,0,5,6,0,0,0,0,11,9
2016,0,0,0,0,0,0,11,16,0,0,0,0,27,4
2017,0,0,0,0,0,0,13,9,0,0,0,0,22,6
2018,0,0,0,0,0,0,16,14,0,0,0,0,30,2
2019,0,0,0,0,0,0,8,14,0,0,0,0,22,5
2020,0,0,0,0,0,0,0,16,0,0,0,0,16,7
2021,0,0,0,0,0,0,7,1,0,0,0,0,8,10
2022,0,0,0,0,0,2,10,14,1,0,0,0,27,3
2023,0,0,0,0,0,0,5,9,0,0,0,0,14,8
2024,0,0,0,0,0,0,15,16,6,0,0,0,37,1
