연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0.2,0.7,5.5,8.6,0.6,0,0,0,15.6,
2015,0,0,0,0,1,0,5,8,0,0,0,0,14,7
2016,0,0,0,0,0,0,9,21,1,0,0,0,31,3
2017,0,0,0,0,1,5,13,10,0,0,0,0,29,4
2018,0,0,0,0,0,2,20,21,0,0,0,0,43,1
2019,0,0,0,0,0,0,0,12,0,0,0,0,12,10
2020,0,0,0,0,0,2,0,11,0,0,0,0,13,9
2021,0,0,0,0,0,0,9,5,0,0,0,0,14,7
2022,0,0,0,0,0,4,9,4,2,0,0,0,19,6
2023,0,0,0,0,0,2,6,12,0,0,0,0,20,5
2024,0,0,0,0,0,3,5,21,8,0,0,0,37,2
