연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0.1,6,6.5,0.3,0,0,0,12.9,
2015,0,0,0,0,0,0,8,6,0,0,0,0,14,6
2016,0,0,0,0,0,0,5,8,0,0,0,0,13,8
2017,0,0,0,0,0,0,8,5,0,0,0,0,13,7
2018,0,0,0,0,0,0,12,10,0,0,0,0,22,2
2019,0,0,0,0,0,0,5,8,1,0,0,0,14,5
2020,0,0,0,0,0,0,0,13,1,0,0,0,14,4
2021,0,0,0,0,0,0,1,2,0,0,0,0,3,10
2022,0,0,0,0,0,1,5,14,0,0,0,0,20,3
2023,0,0,0,0,0,0,2,3,0,0,0,0,5,9
2024,0,0,0,0,0,0,13,7,3,0,0,0,23,1
