"자치구별(1)",자치구별(2),2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2022,2022,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2015
"자치구별(1)",자치구별(2),계,가정용,일반용,업무용,산업용,열병합,수송용,계,가정용,일반용,업무용,산업용,열병합,수송용,계,가정용,일반용,업무용,산업용,열병합,수송용,계,가정용,일반용,업무용,산업용,열병합,수송용,계,가정용,일반용,업무용,산업용,열병합,수송용,계,가정용,일반용,업무용,산업용,열병합,수송용,계,가정용,일반용,업무용,산업용,열병합,수송용,계,가정용,일반용,업무용,산업용,열병합,수송용,계,가정용,일반용,업무용,산업용,열병합,수송용
"합계",은평구,168521,120512,16824,7240,69,3,23873,188870,138003,17760,7753,71,7,25276,183385,132241,17164,8487,81,10,25402,183004,132347,17064,8242,87,8,25256,181208,126678,18622,9209,83,10,26606,190704,135371,18278,9743,83,21,27208,182336,128434,18167,9801,80,29,25825,176122,123713,17472,9176,77,41,25643,168152,117663,16875,8701,80,45,24788
"합계",서대문구,126431,88427,17010,20365,140,489,-,137583,98002,16920,22027,93,541,-,131239,93505,15595,21437,159,543,-,132692,95001,16295,20774,182,441,-,135452,92078,19639,22956,196,584,-,143856,98174,20252,24631,207,591,-,138811,93521,19818,24634,200,637,-,135148,90864,19087,24372,200,624,-,128331,87378,18440,22240,200,73,-
"합계",마포구,166836,98000,29772,15722,12,11433,11897,185737,109909,29710,17305,11,16833,11969,196963,105619,26150,17906,11,35488,11789,200428,107342,27790,17165,11,36659,11461,219607,103613,42176,19425,26,41771,12596,240489,111257,48705,21570,29,45870,13058,222101,106391,39507,20228,35,42827,13113,177114,103767,30581,18871,40,10491,13364,165852,99867,29267,17074,36,6793,12815
"합계",양천구,162378,71786,13821,4728,166,53209,18668,191604,81189,17916,5558,170,66242,20529,165203,78932,13443,6243,159,44856,21570,161518,79127,13445,6012,155,38615,24164,163307,75496,15933,6981,172,38217,26508,186815,81184,16784,7631,193,53057,27966,181112,78019,16392,7548,159,50740,28254,186568,76005,16182,7625,160,58136,28460,221564,72033,16507,7212,156,97477,28179
"합계",강서구,193841,113061,33597,12543,2095,21134,11411,211663,128274,33205,14348,2073,21216,12547,193224,123433,29357,14763,1753,9980,13938,193460,124641,30146,14397,1607,8332,14337,193897,119664,32556,16608,2170,7150,15749,205876,127413,29831,19097,2179,11244,16112,194793,128022,27232,18974,2333,1936,16295,178843,115247,26355,18298,2317,2,16624,171564,109408,25456,17245,2627,1,16827
"합계",구로구,151874,113782,15739,14990,520,3455,3388,168083,127641,16071,16456,772,3572,3571,163806,123881,14954,16361,714,3645,4251,164485,123279,15309,15524,803,4163,5407,167102,120479,17754,17393,881,4804,5791,177716,127771,19520,18459,945,4704,6317,170333,121904,18257,18623,971,3993,6585,162183,115074,17963,17999,960,3775,6412,154634,109081,17721,16886,1167,3824,5955
"합계",금천구,95831,69073,12139,7866,1307,434,5012,105848,77568,12369,8808,1670,440,4993,103923,74263,11884,9498,1823,378,6077,104121,72731,11986,9790,2171,929,6514,104260,69752,12654,11100,2661,1112,6981,110186,71709,13310,11954,3086,3038,7089,107315,68720,12798,12414,3574,2919,6890,102667,63806,12625,12333,4379,2917,6607,98465,60104,12497,11675,5032,2804,6353
"합계",영등포구,170176,104975,38514,24018,2184,485,-,185551,116853,39069,26846,2313,470,-,178521,112126,36138,27497,2211,549,-,175509,111906,35057,25984,2427,135,-,176874,105821,40101,28448,2480,24,-,187748,112638,40502,32091,2458,60,-,179179,106139,39864,30756,2382,37,-,175018,103747,38744,30114,2355,58,-,165220,98218,37391,27249,2345,17,-
"합계",동작구,144445,114644,14292,13337,55,2117,-,161890,130367,14313,15237,58,1915,-,157680,125130,13020,15835,53,3642,-,161300,127753,14086,15823,65,3573,-,160699,122928,16881,17233,66,3591,-,171187,130575,17311,18442,86,4773,-,164455,125062,17041,17698,95,4561,-,158812,120091,16846,17346,102,4427,-,150782,114191,16444,15570,107,4470,-
"합계",관악구,188186,145698,23067,13994,13,8,5406,209052,163181,23689,16460,15,6,5701,202634,156931,22369,17215,17,4,6098,206536,159734,23608,17238,18,-,5938,205548,154979,26146,18348,21,-,6054,219259,165227,26816,21175,23,-,6018,217128,164317,26706,20168,20,-,5917,203551,150959,26792,19730,35,-,6035,193658,142965,26207,18535,37,-,5914
"합계",서초구,183050,87933,44675,36451,50,425,13516,203670,101311,45496,41831,69,613,14350,202988,100013,42110,43058,74,2329,15404,205595,102129,44067,41848,70,1578,15903,215325,98913,49448,47835,65,2337,16727,237090,109763,48085,54644,71,7574,16953,233792,105812,42837,60725,111,7171,17135,224726,102836,42314,60853,143,1199,17381,214668,99532,42553,54494,157,1122,16810
"합계",강남구,275343,95378,71110,56074,29,45861,6891,312781,110847,73405,62994,39,58098,7398,295314,107463,69670,64818,41,45901,7421,280842,110340,68754,64377,40,30062,7269,316567,107940,74523,76269,40,50327,7468,332821,119008,74918,84292,35,46833,7735,309201,116466,69120,87214,160,28491,7750,312740,113685,67707,91062,156,32269,7861,331576,111168,68534,82691,187,61466,7530
"합계",송파구,208680,109038,40394,29426,43,1720,28059,231581,126593,42222,32692,42,781,29251,221910,121902,38271,30878,45,958,29856,221431,123677,37637,28840,66,1265,29946,229357,120904,43074,31685,66,3027,30601,267347,129473,41500,34391,428,29814,31741,261009,121976,36979,37255,582,30884,33333,253792,117206,33772,38185,263,30121,34245,246967,114870,32865,36024,488,28949,33771
"합계",강동구,219636,92856,23316,9475,260,85497,8232,216834,107673,24732,10799,309,64010,9311,217425,103357,23456,10492,308,70320,9492,198508,102469,22192,10299,292,53433,9823,184763,97347,25430,12587,292,38965,10142,193496,106719,22763,14500,2726,36115,10673,192024,105598,18445,16406,4241,36606,10728,187019,102986,18003,15895,4748,34682,10705,184709,101864,17625,14621,4360,35644,10595
