연월,서울,인천,경기,강원,충청,전북,광주,대구,부산,제주
2023-07,577540,435767,723594,69377,129438,235163,203887,172493,460142,21290
2023-08,589199,468313,759390,72823,122181,218851,189925,161038,462856,23832
2023-09,515989,381731,710044,68612,121796,212593,194193,157310,454039,19022
2023-10,562657,387412,669196,56894,136748,218890,196928,187269,484109,15717
2023-11,890412,369652,921636,83980,199571,265564,259657,223551,573754,14583
2023-12,1133513,469101,1199520,125102,281416,296878,285023,318830,736153,24196
2024-01,1226775,522061,1271591,138692,306698,331023,308300,357233,800135,27478
2024-02,967913,419144,986474,114029,249635,263572,283784,292625,693951,25399
2024-03,923777,509381,960023,98384,252282,295150,288316,289682,659490,20726
2024-04,563526,371793,699341,81650,176050,230143,240995,209823,531761,22845
2024-05,504670,388221,691081,79940,145931,259186,232726,189597,535053,24207
2024-06,538479,434245,659609,72747,170682,221357,185656,179651,544866,23292
2024-07,582640,522503,729762,76605,204919,231859,207151,181246,578947,27204
2024-08,617212,570614,810941,84601,204125,274338,220290,180642,524324,31042
2024-09,538893,468590,630918,74197,190813,240155,204324,167921,466640,22260
2024-10,503881,354772,644334,79225,208410,266564,195400,198978,472650,16846
2024-11,689002,343299,884765,94047,260233,236051,212537,252367,499885,13479
2024-12,1105286,450032,1164877,128531,373532,310482,303669,352461,656188,20876
