Year,Month,Region,Number of Households,Avg Electricity Consumption per Household (kWh)
2024,10,Ulsan,587424.0,256.0
2024,11,Ulsan,587679.0,220.0
2024,12,Ulsan,588430.0,224.0
2015,1,Seoul,4365397.0,248.0
2015,2,Seoul,4369346.0,242.0
2015,3,Seoul,4369258.0,214.0
2015,4,Seoul,4373778.0,223.0
2015,5,Seoul,4378279.0,208.0
2015,6,Seoul,4381376.0,216.0
2015,7,Seoul,4382767.0,229.0
2015,8,Seoul,4384681.0,278.0
2015,9,Seoul,4390197.0,239.0
2015,10,Seoul,4389707.0,207.0
2015,11,Seoul,4392491.0,218.0
2015,12,Seoul,4394879.0,227.0
2016,1,Seoul,4399911.0,242.0
2016,2,Seoul,4404389.0,245.0
2016,3,Seoul,4410047.0,219.0
2016,4,Seoul,4414548.0,219.0
2016,5,Seoul,4421494.0,206.0
2016,6,Seoul,4427182.0,215.0
2016,7,Seoul,4431201.0,235.0
2016,8,Seoul,4439018.0,315.0
2016,9,Seoul,4443438.0,262.0
2016,10,Seoul,4446447.0,206.0
2016,11,Seoul,4456103.0,214.0
2016,12,Seoul,4462272.0,222.0
2017,1,Seoul,4468653.0,236.0
2017,2,Seoul,4471467.0,238.0
2017,3,Seoul,4478389.0,208.0
2017,4,Seoul,4482548.0,216.0
2017,5,Seoul,4489360.0,202.0
2017,6,Seoul,4492219.0,210.0
2017,7,Seoul,4495876.0,248.0
2017,8,Seoul,4504246.0,300.0
2017,9,Seoul,4513796.0,233.0
2017,10,Seoul,4517074.0,203.0
2017,11,Seoul,4524785.0,213.0
2017,12,Seoul,4529914.0,228.0
2018,1,Seoul,4535178.0,245.0
2018,2,Seoul,4539683.0,247.0
2018,3,Seoul,4544889.0,211.0
2018,4,Seoul,4554272.0,216.0
2018,5,Seoul,4562357.0,203.0
2018,6,Seoul,4568233.0,213.0
2018,7,Seoul,4575584.0,245.0
2018,8,Seoul,4591968.0,371.0
2018,9,Seoul,4599038.0,261.0
2018,10,Seoul,4598825.0,201.0
2018,11,Seoul,4608670.0,211.0
2018,12,Seoul,4613070.0,222.0
2019,1,Seoul,4617350.0,240.0
2019,2,Seoul,4620355.0,234.0
2019,3,Seoul,4634329.0,205.0
2019,4,Seoul,4643126.0,215.0
2019,5,Seoul,4649911.0,200.0
2019,6,Seoul,4657690.0,207.0
2019,7,Seoul,4667648.0,229.0
2019,8,Seoul,4677003.0,308.0
2019,9,Seoul,4686246.0,261.0
2019,10,Seoul,4689110.0,207.0
2019,11,Seoul,4696180.0,208.0
2019,12,Seoul,4700507.0,220.0
2020,1,Seoul,4705280.0,234.0
2020,2,Seoul,4707557.0,233.0
2020,3,Seoul,4714415.0,220.0
2020,4,Seoul,4723785.0,222.0
2020,5,Seoul,4731749.0,208.0
2020,6,Seoul,4738702.0,222.0
2020,7,Seoul,4746749.0,238.0
2020,8,Seoul,4751818.0,276.0
2020,9,Seoul,4756152.0,287.0
2020,10,Seoul,4763625.0,210.0
2020,11,Seoul,4772339.0,216.0
2020,12,Seoul,4774486.0,231.0
2021,1,Seoul,4777855.0,257.0
2021,2,Seoul,4784548.0,245.0
2021,3,Seoul,4787473.0,211.0
2021,4,Seoul,4793381.0,216.0
2021,5,Seoul,4798550.0,206.0
2021,6,Seoul,4803182.0,218.0
2021,7,Seoul,4809953.0,270.0
2021,8,Seoul,4810246.0,362.0
2021,9,Seoul,4814257.0,259.0
2021,10,Seoul,4816654.0,218.0
2021,11,Seoul,4820320.0,217.0
2021,12,Seoul,4825957.0,225.0
2022,1,Seoul,3995818.0,233.0
2022,2,Seoul,4761227.0,245.0
2022,3,Seoul,4764225.0,218.0
2022,4,Seoul,4768114.0,220.0
2022,5,Seoul,4770008.0,202.0
2022,6,Seoul,4773180.0,214.0
2022,7,Seoul,4779332.0,277.0
2022,8,Seoul,4786966.0,329.0
2022,9,Seoul,4790550.0,261.0
2022,10,Seoul,4795050.0,213.0
2022,11,Seoul,4801628.0,212.0
2022,12,Seoul,4803896.0,225.0
2023,1,Seoul,4807229.0,247.0
2023,2,Seoul,4813757.0,238.0
2023,3,Seoul,4818859.0,204.0
2023,4,Seoul,4821114.0,210.0
2023,5,Seoul,4825130.0,201.0
2023,6,Seoul,4828850.0,216.0
2023,7,Seoul,4834192.0,266.0
2023,8,Seoul,4838055.0,340.0
2023,9,Seoul,4843078.0,292.0
2023,10,Seoul,4848664.0,216.0
2023,11,Seoul,4857156.0,211.0
2023,12,Seoul,4870737.0,224.0
2024,1,Seoul,4874414.0,242.0
2024,2,Seoul,4877485.0,235.0
2024,3,Seoul,4880106.0,213.0
2024,4,Seoul,4882040.0,211.0
2024,5,Seoul,4885748.0,198.0
2024,6,Seoul,4890087.0,218.0
2024,7,Seoul,4890640.0,267.0
2024,8,Seoul,4893594.0,364.0
2024,9,Seoul,4897255.0,346.0
2024,10,Seoul,4902482.0,236.0
2024,11,Seoul,4911167.0,207.0
2024,12,Seoul,4916320.0,219.0
