연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0.1,1.1,3.2,0,0,0,0,4.4,
2015,0,0,0,0,0,0,0,1,0,0,0,0,1,9
2016,0,0,0,0,0,0,0,8,0,0,0,0,8,4
2017,0,0,0,0,0,0,0,2,0,0,0,0,2,7
2018,0,0,0,0,0,0,6,14,0,0,0,0,20,1
2019,0,0,0,0,0,0,2,7,0,0,0,0,9,3
2020,0,0,0,0,0,0,0,1,0,0,0,0,1,9
2021,0,0,0,0,0,0,8,0,0,0,0,0,8,4
2022,0,0,0,0,0,0,2,0,0,0,0,0,2,7
2023,0,0,0,0,0,0,1,2,0,0,0,0,3,6
2024,0,0,0,0,0,0,1,11,1,0,0,0,13,2
