연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,4.8,7.7,0,0,0,0,12.5,
2015,0,0,0,0,0,0,7,5,0,0,0,0,12,10
2016,0,0,0,0,0,0,10,22,0,0,0,0,32,2
2017,0,0,0,0,0,0,10,9,0,0,0,0,19,7
2018,0,0,0,0,0,0,12,17,0,0,0,0,29,3
2019,0,0,0,0,0,0,6,11,0,0,0,0,17,8
2020,0,0,0,0,0,0,0,13,0,0,0,0,13,9
2021,0,0,0,0,0,0,17,4,0,0,0,0,21,6
2022,0,0,0,0,0,2,10,12,0,0,0,0,24,5
2023,0,0,0,0,0,1,9,14,1,0,0,0,25,4
2024,0,0,0,0,0,1,13,25,9,0,0,0,48,1
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,11
