y_test,y_pred,Data,Model,Training time,Best hyperparams,MAE,RMSE,R^2,Adjusted R^2
"[247.0, 242.0, 212.0, 267.0, 226.0, 261.0, 221.0, 245.0, 208.0, 368.0, 221.0, 207.0, 345.0, 213.0, 218.0, 209.0, 287.0, 243.0, 257.0, 271.0, 216.0, 371.0, 203.0, 259.0, 245.0, 251.0, 232.0, 245.0, 362.0, 245.0, 194.0, 211.0, 225.0, 235.0, 231.0, 341.0, 298.0, 213.0, 261.0, 220.0, 228.0, 338.0, 242.0, 332.0, 211.0, 254.0, 218.0, 241.0, 214.0, 346.0, 206.0, 216.0, 212.0, 262.0, 252.0, 214.0, 290.0, 233.0, 204.0, 221.0, 225.0, 214.0, 334.0, 208.0, 220.0, 238.0, 213.0, 280.0, 207.0, 247.0, 217.0, 206.0, 231.0, 211.0, 251.0, 215.0, 211.0, 247.0, 307.0, 206.0, 207.0, 249.0, 195.0, 215.0, 294.0, 223.0, 222.0, 222.0, 243.0, 242.0, 253.0, 213.0, 238.0, 254.0, 251.0, 292.0, 213.0, 230.0, 277.0, 364.0, 219.0, 268.0, 206.0, 212.0, 229.0, 214.0, 208.0, 207.0, 229.0, 269.0, 280.0, 239.0, 207.0, 238.0, 230.0, 330.0, 206.0, 222.0, 228.0, 245.0, 203.0, 214.0, 215.0, 238.0, 309.0, 227.0, 248.0, 225.0, 319.0, 221.0, 205.0, 245.0, 213.0, 245.0, 206.0, 277.0, 238.0, 206.0, 231.0, 220.0, 258.0, 221.0, 259.0, 254.0, 228.0, 265.0, 224.0, 213.0, 219.0, 210.0, 243.0, 221.0]","[248.67172, 246.79042, 216.46988, 259.4724, 220.46828, 257.47314, 222.40257, 242.16345, 205.66922, 303.7507, 222.1709, 205.59001, 324.3302, 207.80835, 222.58177, 210.8743, 254.73604, 236.58334, 246.32336, 257.07315, 214.28098, 325.35892, 200.67715, 253.98004, 250.28658, 253.40195, 231.77895, 240.75786, 312.18698, 247.74304, 198.15936, 209.58017, 221.05353, 244.07954, 234.36096, 350.87393, 292.5508, 216.87643, 239.55327, 223.03197, 222.86275, 301.70612, 261.2003, 334.9628, 217.19841, 246.3451, 213.72064, 245.98889, 215.54108, 364.24152, 197.683, 215.4992, 218.2915, 245.1741, 248.61859, 209.87991, 262.9443, 226.43402, 201.15082, 213.93263, 223.09088, 219.91533, 327.40408, 225.23589, 230.09584, 250.50548, 220.51143, 283.8376, 207.34396, 232.25302, 209.7516, 208.2026, 220.26031, 219.32257, 251.12486, 219.25574, 224.43877, 281.2228, 295.53964, 206.96864, 212.25552, 246.85942, 193.60933, 215.00505, 301.3009, 221.55568, 223.59065, 214.26524, 245.75645, 250.569, 266.6808, 203.1339, 236.8084, 249.91502, 249.89572, 297.39246, 209.43724, 226.61314, 267.04105, 372.2718, 226.65985, 280.51483, 205.89514, 211.95703, 221.40167, 213.18694, 216.86125, 210.71799, 230.70178, 270.3707, 318.32193, 253.87895, 209.31943, 225.43379, 226.69798, 334.8549, 206.71724, 224.08327, 220.95535, 239.95917, 199.67224, 212.55211, 219.33597, 231.19695, 327.0944, 226.38226, 245.61133, 223.31732, 345.53522, 222.30913, 216.57143, 229.71716, 214.1088, 242.16867, 221.47397, 314.98602, 232.28735, 202.25116, 225.19753, 210.60884, 238.82259, 211.79703, 254.85812, 260.03122, 219.44121, 253.23822, 235.48563, 212.00545, 218.60165, 205.7485, 267.9229, 220.60884]",X0,Stacking,N/A,"{'Meta': 'XGBRegressor', 'Base': ['RandomForestRegressor', 'SVR', 'AdaBoostRegressor', 'LinearRegression', 'ElasticNet']}",8.26120998984889,12.981000998328323,0.8881509318597021,0.861563858285369
"[247.0, 242.0, 212.0, 267.0, 226.0, 261.0, 221.0, 245.0, 208.0, 368.0, 221.0, 207.0, 345.0, 213.0, 218.0, 209.0, 287.0, 243.0, 257.0, 271.0, 216.0, 371.0, 203.0, 259.0, 245.0, 251.0, 232.0, 245.0, 362.0, 245.0, 194.0, 211.0, 225.0, 235.0, 231.0, 341.0, 298.0, 213.0, 261.0, 220.0, 228.0, 338.0, 242.0, 332.0, 211.0, 254.0, 218.0, 241.0, 214.0, 346.0, 206.0, 216.0, 212.0, 262.0, 252.0, 214.0, 290.0, 233.0, 204.0, 221.0, 225.0, 214.0, 334.0, 208.0, 220.0, 238.0, 213.0, 280.0, 207.0, 247.0, 217.0, 206.0, 231.0, 211.0, 251.0, 215.0, 211.0, 247.0, 307.0, 206.0, 207.0, 249.0, 195.0, 215.0, 294.0, 223.0, 222.0, 222.0, 243.0, 242.0, 253.0, 213.0, 238.0, 254.0, 251.0, 292.0, 213.0, 230.0, 277.0, 364.0, 219.0, 268.0, 206.0, 212.0, 229.0, 214.0, 208.0, 207.0, 229.0, 269.0, 280.0, 239.0, 207.0, 238.0, 230.0, 330.0, 206.0, 222.0, 228.0, 245.0, 203.0, 214.0, 215.0, 238.0, 309.0, 227.0, 248.0, 225.0, 319.0, 221.0, 205.0, 245.0, 213.0, 245.0, 206.0, 277.0, 238.0, 206.0, 231.0, 220.0, 258.0, 221.0, 259.0, 254.0, 228.0, 265.0, 224.0, 213.0, 219.0, 210.0, 243.0, 221.0]","[238.4968, 232.4168, 214.47666666666663, 258.36, 210.15516666666667, 280.59, 230.7, 242.63, 232.6168, 250.44, 224.38066666666666, 208.79, 352.61, 206.58, 221.11, 245.22, 259.07, 277.57, 251.59, 270.75, 212.62, 320.29, 209.06, 247.64, 239.8375, 236.4925, 239.31666666666663, 247.54, 256.75, 247.7, 200.48, 202.03, 227.96999999999997, 235.4175, 234.92285714285714, 350.34, 315.66, 212.73, 237.35, 219.72, 227.75, 250.78, 241.86, 354.92, 221.86, 242.6715, 214.55, 234.09, 232.1368, 287.55, 215.37, 206.33, 215.49, 263.75, 236.915, 210.25, 255.56, 222.02, 210.421, 218.17, 220.19, 219.62571428571428, 296.04, 226.19, 210.62016666666662, 236.2155, 211.29166666666663, 261.67, 217.65, 236.695, 213.375, 201.99, 218.55428571428573, 217.3466666666667, 241.03866666666664, 222.02, 218.44, 290.99, 264.38, 206.59, 215.91, 242.22, 197.02, 215.32571428571427, 271.48, 216.52, 229.87, 213.74, 233.0468, 237.05816666666666, 286.23, 213.99, 229.80285714285714, 237.715, 242.265, 342.07, 214.66, 232.17, 273.27, 352.53, 245.17, 263.28, 201.69, 212.61, 222.99, 217.93571428571428, 218.83, 222.27, 215.37, 267.7, 265.81, 267.51, 218.0257142857143, 225.69, 227.99, 267.33, 221.4489523809524, 231.2168, 230.4968, 235.24349999999998, 199.95, 234.7468, 219.28, 233.47, 321.18, 234.4768, 227.78, 228.38285714285715, 264.92, 214.58, 215.4, 241.83, 209.34666666666664, 238.335, 206.92, 287.26, 242.1075, 201.85, 212.4633333333333, 214.72571428571428, 252.28, 209.65, 233.5375, 268.71, 216.58, 241.63, 210.48, 203.23, 214.09, 217.62, 277.39, 219.79666666666665]",X1,Stacking,N/A,"{'Meta': 'RandomForestRegressor', 'Base': ['XGBRegressor', 'AdaBoostRegressor', 'SVR', 'LinearRegression']}",13.412718640350878,22.181365152483227,0.6734177730684936,0.6373976745098715
"[247.0, 242.0, 212.0, 267.0, 226.0, 261.0, 221.0, 245.0, 208.0, 368.0, 221.0, 207.0, 345.0, 213.0, 218.0, 209.0, 287.0, 243.0, 257.0, 271.0, 216.0, 371.0, 203.0, 259.0, 245.0, 251.0, 232.0, 245.0, 362.0, 245.0, 194.0, 211.0, 225.0, 235.0, 231.0, 341.0, 298.0, 213.0, 261.0, 220.0, 228.0, 338.0, 242.0, 332.0, 211.0, 254.0, 218.0, 241.0, 214.0, 346.0, 206.0, 216.0, 212.0, 262.0, 252.0, 214.0, 290.0, 233.0, 204.0, 221.0, 225.0, 214.0, 334.0, 208.0, 220.0, 238.0, 213.0, 280.0, 207.0, 247.0, 217.0, 206.0, 231.0, 211.0, 251.0, 215.0, 211.0, 247.0, 307.0, 206.0, 207.0, 249.0, 195.0, 215.0, 294.0, 223.0, 222.0, 222.0, 243.0, 242.0, 253.0, 213.0, 238.0, 254.0, 251.0, 292.0, 213.0, 230.0, 277.0, 364.0, 219.0, 268.0, 206.0, 212.0, 229.0, 214.0, 208.0, 207.0, 229.0, 269.0, 280.0, 239.0, 207.0, 238.0, 230.0, 330.0, 206.0, 222.0, 228.0, 245.0, 203.0, 214.0, 215.0, 238.0, 309.0, 227.0, 248.0, 225.0, 319.0, 221.0, 205.0, 245.0, 213.0, 245.0, 206.0, 277.0, 238.0, 206.0, 231.0, 220.0, 258.0, 221.0, 259.0, 254.0, 228.0, 265.0, 224.0, 213.0, 219.0, 210.0, 243.0, 221.0]","[235.48, 229.02, 216.66, 252.3, 212.93, 272.84, 231.45, 246.19, 216.54, 257.61, 219.02, 205.39, 354.82, 207.48, 222.86, 244.14, 237.48, 279.92, 249.38, 246.89, 212.91, 307.34, 213.32, 252.79, 247.46, 254.0, 229.22, 250.01, 276.59, 241.45, 200.34, 208.27, 235.16, 234.72, 229.23, 353.41, 333.43, 213.64, 226.64, 220.65, 224.69, 283.46, 264.29, 347.59, 223.5, 251.43, 211.26, 240.07, 234.43, 306.9, 212.3, 207.32, 217.19, 274.56, 240.96, 216.58, 251.43, 226.65, 207.82, 218.73, 205.2, 221.74, 293.79, 269.78, 208.68, 243.32, 217.47, 261.78, 217.07, 242.03, 209.28, 204.86, 226.4, 222.62, 243.14, 234.49, 213.81, 263.72, 258.84, 206.62, 217.15, 243.58, 202.02, 220.94, 257.44, 226.23, 225.16, 215.09, 234.34, 236.62, 260.45, 219.76, 227.33, 241.59, 252.24, 338.97, 217.99, 239.98, 287.72, 357.49, 261.67, 280.65, 202.37, 209.85, 217.51, 221.13, 224.24, 213.2, 217.37, 269.37, 245.75, 259.4, 215.13, 228.41, 221.1, 263.0, 215.61, 235.62, 224.97, 235.22, 208.57, 222.76, 221.51, 234.68, 291.38, 230.97, 229.87, 234.66, 255.56, 213.0, 221.38, 269.04, 220.27, 242.29, 211.07, 273.67, 243.96, 203.34, 222.3, 213.69, 249.48, 213.92, 240.76, 259.14, 217.35, 254.55, 220.61, 207.96, 219.31, 206.0, 267.62, 225.66]",X2,Stacking,N/A,"{'Meta': 'RandomForestRegressor', 'Base': ['SVR', 'XGBRegressor', 'AdaBoostRegressor', 'LinearRegression', 'DecisionTreeRegressor']}",13.715855263157897,21.825007551092927,0.6838269790645182,0.6489549546966341
"[247.0, 242.0, 212.0, 267.0, 226.0, 261.0, 221.0, 245.0, 208.0, 368.0, 221.0, 207.0, 345.0, 213.0, 218.0, 209.0, 287.0, 243.0, 257.0, 271.0, 216.0, 371.0, 203.0, 259.0, 245.0, 251.0, 232.0, 245.0, 362.0, 245.0, 194.0, 211.0, 225.0, 235.0, 231.0, 341.0, 298.0, 213.0, 261.0, 220.0, 228.0, 338.0, 242.0, 332.0, 211.0, 254.0, 218.0, 241.0, 214.0, 346.0, 206.0, 216.0, 212.0, 262.0, 252.0, 214.0, 290.0, 233.0, 204.0, 221.0, 225.0, 214.0, 334.0, 208.0, 220.0, 238.0, 213.0, 280.0, 207.0, 247.0, 217.0, 206.0, 231.0, 211.0, 251.0, 215.0, 211.0, 247.0, 307.0, 206.0, 207.0, 249.0, 195.0, 215.0, 294.0, 223.0, 222.0, 222.0, 243.0, 242.0, 253.0, 213.0, 238.0, 254.0, 251.0, 292.0, 213.0, 230.0, 277.0, 364.0, 219.0, 268.0, 206.0, 212.0, 229.0, 214.0, 208.0, 207.0, 229.0, 269.0, 280.0, 239.0, 207.0, 238.0, 230.0, 330.0, 206.0, 222.0, 228.0, 245.0, 203.0, 214.0, 215.0, 238.0, 309.0, 227.0, 248.0, 225.0, 319.0, 221.0, 205.0, 245.0, 213.0, 245.0, 206.0, 277.0, 238.0, 206.0, 231.0, 220.0, 258.0, 221.0, 259.0, 254.0, 228.0, 265.0, 224.0, 213.0, 219.0, 210.0, 243.0, 221.0]","[241.16605, 248.92413, 218.92574, 264.7826, 211.99358, 263.61734, 227.83537, 246.82419, 205.87921, 320.66843, 220.1051, 204.22865, 281.43198, 208.94, 218.7537, 232.37105, 249.07823, 228.83118, 249.97856, 250.9069, 214.14908, 299.14542, 204.8429, 238.37532, 252.75362, 256.5914, 232.81906, 250.31155, 326.05756, 260.7837, 197.68803, 198.0711, 228.02644, 242.55475, 233.66425, 356.75446, 296.40967, 215.77985, 218.65341, 227.22144, 222.816, 302.81482, 279.05652, 321.3374, 215.36676, 256.5914, 216.39388, 239.65857, 210.25581, 370.75742, 205.10786, 216.81418, 224.80302, 242.17982, 247.95001, 212.09804, 300.27972, 230.49944, 198.0711, 217.09999, 225.97958, 219.29997, 311.21747, 218.56357, 217.37071, 254.0068, 220.97021, 263.61697, 215.55101, 241.75209, 217.0225, 207.94936, 224.7451, 216.84447, 249.898, 220.45772, 217.25897, 278.0928, 260.84927, 204.37755, 208.53188, 249.52928, 197.7719, 217.89058, 278.0928, 227.12009, 225.72661, 216.45692, 256.1957, 239.99797, 238.86192, 218.27254, 242.64203, 249.04193, 252.18733, 316.41858, 208.5854, 227.59483, 297.98898, 360.43753, 224.92334, 285.82983, 203.86089, 207.31908, 222.44464, 217.34319, 215.82455, 207.04865, 218.716, 259.6727, 273.67316, 231.77524, 206.90163, 235.96455, 217.30313, 324.5741, 213.00414, 224.7451, 226.91762, 253.83705, 200.33836, 208.5397, 219.19041, 234.03833, 306.13483, 225.72661, 250.618, 223.79053, 323.4223, 223.32222, 215.75223, 221.1008, 218.83606, 255.94283, 205.92389, 280.8659, 228.9895, 210.95929, 220.24333, 221.93843, 216.6523, 217.09999, 263.9144, 245.45316, 218.57304, 281.93298, 216.47739, 221.50098, 212.75822, 206.18695, 254.31677, 222.24269]",X3,Stacking,N/A,"{'Meta': 'XGBRegressor', 'Base': ['RandomForestRegressor', 'DecisionTreeRegressor']}",9.382334658974095,15.039104404530113,0.8498726038527301,0.8295546103891898
"[247.0, 242.0, 212.0, 267.0, 226.0, 261.0, 221.0, 245.0, 208.0, 368.0, 221.0, 207.0, 345.0, 213.0, 218.0, 209.0, 287.0, 243.0, 257.0, 271.0, 216.0, 371.0, 203.0, 259.0, 245.0, 251.0, 232.0, 245.0, 362.0, 245.0, 194.0, 211.0, 225.0, 235.0, 231.0, 341.0, 298.0, 213.0, 261.0, 220.0, 228.0, 338.0, 242.0, 332.0, 211.0, 254.0, 218.0, 241.0, 214.0, 346.0, 206.0, 216.0, 212.0, 262.0, 252.0, 214.0, 290.0, 233.0, 204.0, 221.0, 225.0, 214.0, 334.0, 208.0, 220.0, 238.0, 213.0, 280.0, 207.0, 247.0, 217.0, 206.0, 231.0, 211.0, 251.0, 215.0, 211.0, 247.0, 307.0, 206.0, 207.0, 249.0, 195.0, 215.0, 294.0, 223.0, 222.0, 222.0, 243.0, 242.0, 253.0, 213.0, 238.0, 254.0, 251.0, 292.0, 213.0, 230.0, 277.0, 364.0, 219.0, 268.0, 206.0, 212.0, 229.0, 214.0, 208.0, 207.0, 229.0, 269.0, 280.0, 239.0, 207.0, 238.0, 230.0, 330.0, 206.0, 222.0, 228.0, 245.0, 203.0, 214.0, 215.0, 238.0, 309.0, 227.0, 248.0, 225.0, 319.0, 221.0, 205.0, 245.0, 213.0, 245.0, 206.0, 277.0, 238.0, 206.0, 231.0, 220.0, 258.0, 221.0, 259.0, 254.0, 228.0, 265.0, 224.0, 213.0, 219.0, 210.0, 243.0, 221.0]","[249.71956, 243.86609, 217.87871, 257.34128, 218.46574, 258.68033, 223.22462, 250.13309, 206.36084, 324.5133, 218.85045, 206.00629, 312.5887, 205.95612, 221.22446, 225.04861, 239.62315, 231.42064, 255.3557, 264.05365, 217.87871, 328.32523, 199.45425, 241.88591, 245.41461, 252.15283, 234.03621, 246.64688, 325.04675, 235.06073, 223.1573, 199.28024, 226.93506, 244.6203, 229.42464, 353.5139, 312.49298, 214.94507, 232.42639, 218.03563, 224.68134, 293.73724, 255.10373, 330.8547, 213.2999, 248.48729, 214.94507, 244.6203, 208.36859, 369.55618, 206.00629, 213.2999, 215.63322, 250.17307, 249.71956, 211.35803, 253.22188, 225.16356, 201.39699, 212.51376, 228.50009, 221.22446, 328.32523, 226.40958, 219.61623, 244.6719, 221.22446, 285.86227, 205.4142, 238.20988, 217.09901, 214.94507, 224.68134, 221.22446, 248.48729, 211.48479, 224.68134, 293.19177, 276.70084, 205.34665, 210.03635, 250.13309, 195.854, 221.22446, 284.54907, 224.95271, 226.26193, 213.2999, 245.28828, 244.84135, 256.65137, 215.2175, 235.4864, 250.13309, 251.59346, 307.95126, 210.03635, 226.26193, 283.61517, 358.6351, 231.16792, 284.54907, 201.25404, 211.31705, 224.68134, 216.52567, 219.64386, 209.88963, 216.29811, 274.74463, 293.73724, 237.47246, 211.7193, 223.61554, 225.42805, 320.23288, 210.93317, 226.26193, 219.64386, 238.20988, 201.25404, 208.49348, 217.69038, 235.47646, 293.73724, 226.26193, 246.64688, 226.26193, 320.23288, 224.68134, 211.7193, 234.33035, 217.99146, 249.71956, 204.81584, 293.19177, 239.09375, 205.34665, 224.95271, 218.79462, 231.16792, 216.52567, 256.24036, 269.34573, 226.26193, 249.31541, 214.94507, 220.1416, 205.95612, 202.72368, 254.39719, 224.68134]",X4,Stacking,N/A,"{'Meta': 'XGBRegressor', 'Base': ['RandomForestRegressor', 'AdaBoostRegressor']}",8.282498610647101,12.847784522879552,0.8904348362991916,0.8765347782177457
